id,genre
907483,3
907492,3
907499,3
908485,5
910559,3
910562,3
911010,0
911014,5
911051,3
911055,0
911169,3
911193,3
911197,3
911202,3
911311,3
911326,3
911810,3
912067,3
912070,0
912074,0
912077,3
912124,3
912445,3
912448,3
912460,5
913168,3
913728,3
913732,3
914077,0
914143,3
914772,3
914778,2
914781,5
916842,0
916848,0
917671,3
917674,3
917677,3
917728,3
917731,3
917736,3
917959,0
917962,0
917965,3
917984,0
917987,4
918094,0
918097,3
918487,0
918553,5
918587,4
919052,5
919055,5
919058,2
919061,5
919064,5
919067,5
919070,3
919073,5
919076,3
919079,2
919082,2
919226,3
919336,3
919339,3
919342,3
919347,3
919350,3
919354,3
919468,5
919478,5
919638,5
919641,3
919770,0
919774,3
919777,3
919803,0
919807,5
919810,0
919816,3
919841,0
920486,3
920488,3
920667,5
920855,3
920997,3
921000,3
921857,0
921860,4
921866,3
921869,0
921873,3
921877,0
921973,5
922023,2
922026,2
922029,3
922032,5
923444,5
924108,0
924111,4
924751,3
924788,3
926468,2
926701,2
926705,5
926709,5
926714,3
926728,3
927653,2
927658,3
927663,0
928690,5
928693,5
928996,5
929284,0
929287,5
929290,2
929377,5
929382,0
929585,5
930303,5
930304,3
930330,0
931707,3
931711,3
931714,3
931717,3
931720,3
932393,0
933297,5
933301,3
933305,5
933310,0
933315,2
933753,5
933929,3
933932,3
933940,4
933943,5
933946,3
934195,5
935094,3
935555,3
936328,3
936331,3
936560,5
937250,5
937345,3
938331,3
938680,3
939096,3
939288,3
939370,3
939615,4
939618,0
939621,3
939624,5
939627,2
940049,5
940505,4
940749,3
942824,5
942830,3
943547,3
943717,5
944274,3
944277,4
944283,3
944408,3
945014,0
945020,0
946250,3
946896,5
946947,3
946950,3
946953,5
946956,3
947520,3
947525,3
947528,0
947531,4
947534,3
947814,5
947972,5
948131,5
948134,5
948436,5
949254,3
949307,5
949334,5
949661,5
949664,2
950912,5
951131,3
951146,5
951149,3
951154,3
951157,5
951251,3
952094,5
952441,3
952803,3
952806,5
952809,3
952812,3
954021,3
954357,5
954360,5
954363,3
954366,2
955124,3
955210,3
955726,5
955731,3
955753,4
956104,3
957133,3
957136,3
957145,3
957733,0
957736,0
958551,3
958556,5
958560,3
958563,5
959074,3
959323,3
959326,3
959330,5
959334,3
959736,3
959740,3
959917,5
959920,3
959923,3
959926,5
959930,5
959934,5
959937,2
960234,3
960237,3
960242,2
960875,3
960878,3
961320,3
961323,5
961350,4
961353,3
961438,4
961441,5
961444,3
961448,3
961449,3
961665,3
961912,0
961915,0
961951,3
961953,3
961956,3
962231,0
962409,5
962412,5
962472,5
962575,5
962578,5
962581,5
962584,3
962998,3
963001,5
963004,3
963007,5
963072,5
963782,0
963786,3
963807,2
963810,3
963937,3
963940,3
964085,3
964088,3
964091,3
964094,3
964218,0
964453,3
964466,5
964726,3
964937,3
964951,3
965109,5
965112,3
965181,3
965502,5
965830,0
967765,3
968025,0
968295,3
968299,3
968302,3
968450,5
968464,5
968781,4
968959,5
969109,3
969735,3
969747,0
969960,4
970037,3
970040,5
970334,4
970354,3
970480,0
970541,3
970546,3
970746,3
970760,0
971022,5
971059,3
971622,5
971915,5
971918,2
972277,3
972280,2
972283,3
973041,0
973363,3
973814,4
973824,0
973827,0
973925,3
974046,5
974621,3
974625,3
974647,4
974650,3
974653,3
974656,3
974949,3
974962,0
975876,3
975969,5
976126,0
976129,0
976132,0
976142,5
976150,3
976180,5
976183,3
976186,2
976482,5
976485,5
976488,5
976491,3
976494,5
976497,0
976500,2
977012,3
977050,3
977053,0
977056,3
977111,3
977114,3
977117,0
977193,5
977238,4
977495,5
977588,3
977591,3
977698,0
978462,5
978531,4
978534,3
978537,3
978540,3
978543,3
978795,4
978798,3
978801,5
978804,3
978911,3
978979,3
978982,4
979226,3
979339,3
979348,5
979356,5
979359,5
979362,5
979365,2
979418,5
979423,3
979495,5
979577,3
979766,4
979803,5
979859,3
980070,3
980073,3
980076,3
980079,5
980458,3
980461,3
980624,5
980631,2
980655,2
980658,3
980661,3
980756,5
980810,0
980839,2
980857,3
980869,3
980876,3
981734,3
981835,5
981995,0
982661,5
982664,3
982667,5
982670,4
982678,5
982682,5
982687,3
982692,4
982706,5
982709,3
982717,5
982718,3
982721,3
982724,3
982727,3
982730,3
982896,3
983034,3
983037,0
983040,5
983044,5
983051,3
983071,5
983074,3
983077,4
983214,5
983217,2
983220,5
983224,5
983417,2
983420,5
984860,5
986132,5
986137,3
986140,5
987277,3
987291,3
987294,3
987806,0
987809,3
988122,4
988125,5
988371,3
988374,5
988725,3
988746,3
988780,2
988832,3
988854,2
988875,5
988889,3
988912,3
988927,3
989070,3
989091,3
989794,3
990204,3
990207,3
990210,5
990219,3
990901,3
991006,0
991080,0
991445,0
991448,3
991489,3
991773,3
992032,4
992066,3
992709,4
992712,3
992715,3
992771,3
992775,5
992778,3
992781,2
992882,3
992885,4
992889,3
993080,0
993117,5
993121,3
993124,4
993127,2
993407,3
993552,0
993772,3
993775,3
993912,2
994052,3
994082,3
994088,5
994385,3
994388,3
994391,3
994394,3
994397,3
994440,0
994443,0
994446,3
994449,0
994474,3
994477,4
994480,3
994483,3
994612,3
994930,5
994933,5
995256,3
995261,3
996137,3
996147,4
996152,3
996157,0
996158,3
996161,3
996164,0
996167,3
996468,5
996485,5
996745,5
996773,5
997132,5
997137,5
997149,3
997816,3
997868,5
997876,2
997880,0
997905,3
998113,5
998370,2
998373,0
998376,5
998446,5
998449,3
998452,3
998494,3
998638,0
998908,3
998911,3
998914,5
999077,3
999082,3
999564,3
999573,3
999835,3
999840,3
999850,5
1000237,3
1000240,3
1000243,3
1000809,0
1000812,3
1001206,3
1001209,3
1001232,3
1001388,0
1001917,0
1001921,5
1001927,0
1002092,5
1002538,0
1002598,3
1002824,4
1003011,3
1003015,3
1003200,3
1003204,0
1003689,0
1003692,0
1003982,3
1003985,3
1003988,5
1004225,5
1004326,5
1004572,3
1004829,2
1004834,3
1004875,3
1004878,3
1004980,3
1005516,5
1005586,4
1005838,5
1005841,4
1005844,2
1005864,2
1005867,5
1005870,5
1005873,5
1005914,5
1005917,4
1006330,3
1006382,3
1006549,5
1006550,5
1006725,3
1006728,0
1006731,0
1008247,2
1008262,5
1010808,3
1010811,3
1010889,5
1012430,0
1012434,5
1012697,5
1012702,5
1012953,3
1012961,3
1013001,3
1013004,3
1013007,3
1013853,3
1013857,3
1013860,3
1014166,3
1014240,3
1014243,3
1014310,3
1014317,5
1014320,5
1014415,5
1014418,5
1014678,3
1014715,5
1014721,2
1014724,5
1014860,3
1014867,3
1014873,3
1014879,5
1014882,5
1014885,3
1014948,3
1015088,0
1015093,5
1015099,0
1015198,5
1015201,3
1015303,3
1015307,3
1015310,3
1015313,3
1015316,3
1015579,3
1015590,3
1015593,4
1015596,2
1015705,3
1015710,3
1015714,3
1015717,5
1015746,3
1015750,3
1015762,3
1015765,3
1015777,5
1015780,5
1015783,5
1015786,5
1015789,5
1015793,0
1015814,5
1015817,5
1015820,5
1016097,3
1016126,4
1016129,2
1016168,3
1016171,3
1016174,3
1016251,3
1016256,5
1016259,4
1016639,0
1016646,0
1016736,3
1016739,3
1017190,4
1017193,5
1017262,3
1017265,3
1017392,5
1017395,5
1017398,5
1017550,3
1017553,5
1017556,5
1017726,3
1017729,5
1017925,0
1017977,3
1017980,3
1018033,0
1018054,3
1018061,3
1018065,5
1018068,2
1018269,0
1018274,4
1018435,3
1018438,3
1018442,3
1018509,0
1018512,5
1018515,0
1018518,3
1018656,3
1018661,3
1018666,3
1018671,0
1018676,5
1018679,3
1018682,5
1018685,5
1018688,3
1018691,0
1018947,0
1019224,5
1019227,3
1019603,0
1019606,0
1019815,5
1019818,5
1020057,5
1020265,3
1020307,3
1020310,3
1020313,3
1020316,3
1020324,5
1020454,0
1020594,4
1021097,5
1021223,3
1021259,2
1021262,5
1021329,3
1021333,3
1021337,2
1021340,3
1021350,5
1021353,5
1021356,5
1021554,3
1021561,3
1021579,5
1021582,3
1021585,0
1021662,3
1021675,3
1021678,3
1021681,5
1021684,3
1021687,0
1021690,3
1021693,3
1021699,3
1021702,0
1021705,3
1022579,0
1022680,4
1023012,4
1023053,2
1023056,3
1023060,3
1023063,3
1023102,5
1023105,5
1023214,5
1023526,5
1023529,5
1023532,2
1023736,3
1023740,3
1023743,3
1023746,3
1023996,3
1024166,3
1024169,5
1024899,3
1024902,3
1025173,3
1025176,3
1026209,3
1026212,5
1026239,3
1026242,3
1026858,0
1027211,3
1027228,5
1027231,3
1027277,5
1027282,2
1027388,2
1027400,3
1027468,0
1027477,3
1027485,5
1027490,3
1027496,3
1027587,3
1027591,3
1027594,4
1027597,3
1027601,3
1027604,0
1027607,3
1027610,3
1027613,3
1027616,3
1027619,3
1027622,3
1028059,5
1028062,0
1028065,4
1028601,0
1028604,0
1028607,3
1028610,5
1028738,5
1028741,3
1028762,3
1028940,3
1028943,3
1028946,3
1028949,3
1028952,3
1028955,2
1029023,3
1029026,5
1029029,5
1029355,4
1029369,0
1029372,5
1029375,0
1029643,3
1029646,3
1029649,3
1029653,3
1029687,3
1029764,3
1029789,3
1029822,3
1029868,3
1029911,3
1029933,5
1029936,2
1029939,5
1029964,0
1029972,4
1030087,0
1030092,3
1030095,5
1030098,0
1030289,5
1030292,3
1030385,4
1030729,0
1030774,3
1030777,3
1030779,3
1030791,3
1030794,5
1031121,0
1031155,0
1031221,5
1031224,5
1031253,5
1031257,5
1031260,3
1031263,3
1031266,2
1031269,3
1031464,3
1031467,3
1031470,5
1031682,3
1031768,0
1031771,0
1031774,0
1032043,5
1032162,3
1032165,3
1032204,5
1032207,4
1032285,0
1032292,0
1032445,5
1032448,5
1032472,3
1032476,5
1032479,2
1032482,5
1032485,5
1032575,5
1032578,2
1032587,0
1033010,0
1033065,0
1033068,0
1033288,5
1033393,5
1033471,0
1033475,4
1033478,3
1033586,0
1033687,5
1033691,0
1033694,3
1033716,3
1033719,2
1033873,4
1033876,4
1033955,0
1033958,5
1033961,0
1033964,0
1034006,3
1034009,3
1034173,3
1034176,3
1034469,5
1034472,3
1034475,3
1034478,3
1034481,3
1034498,3
1034501,3
1034556,3
1034566,0
1034569,3
1034575,4
1034578,3
1034583,0
1034586,4
1034589,2
1034592,3
1034848,0
1035199,4
1035202,3
1035765,4
1035773,3
1035783,4
1036000,0
1036048,3
1036338,5
1036342,5
1036345,5
1036379,0
1036382,0
1036385,3
1036473,3
1036476,3
1036479,3
1036972,3
1036985,3
1037096,5
1037203,4
1037208,5
1037258,0
1037262,0
1037418,0
1037421,5
1037424,5
1037656,0
1037659,5
1037981,2
1038210,5
1038234,3
1038240,3
1038243,4
1038733,3
1038738,0
1038742,0
1038945,5
1039053,4
1039060,0
1039063,4
1039078,5
1039083,4
1039086,2
1039186,3
1039190,3
1039193,3
1039202,3
1039207,3
1039212,3
1039268,0
1039427,5
1039743,3
1039855,3
1040068,5
1040075,3
1040078,3
1040081,3
1040084,4
1040243,4
1040252,2
1040308,3
1040312,0
1040315,3
1040318,5
1040562,3
1040565,5
1040722,3
1040725,3
1040728,3
1040732,4
1040735,3
1040738,3
1040741,3
1040744,5
1040748,3
1040827,3
1040835,3
1040849,3
1040852,0
1040860,3
1040863,3
1040869,3
1041077,3
1041091,3
1041256,3
1041259,3
1041262,3
1041265,3
1041362,3
1041673,3
1041678,5
1041734,4
1041742,3
1041875,3
1042079,2
1042082,3
1042085,5
1042113,3
1042116,4
1042626,3
1042629,5
1042653,2
1042658,3
1042661,5
1042664,3
1043565,3
1043609,3
1043612,5
1043620,3
1043994,5
1043997,3
1044457,3
1044460,3
1044463,3
1044502,3
1044707,5
1044713,5
1044916,3
1044921,0
1045005,0
1045009,3
1045012,0
1045184,2
1045188,5
